Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Bull C.Y.S., Kiss A.E., Gupta A.S., Jourdain N.C., Argüeso D., Di Luca A., Sérazin G.","57199395941;7201646015;8874929700;35208465800;54382826700;37101378500;56313832800;","Regional Versus Remote Atmosphere-Ocean Drivers of the Rapid Projected Intensification of the East Australian Current",2020,"Journal of Geophysical Research: Oceans","125","7","e2019JC015889","","",,11,"10.1029/2019JC015889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088920983&doi=10.1029%2f2019JC015889&partnerID=40&md5=0cc4aa5597c3bb4fb01e91a8d06cc111","Like many western boundary currents, the East Australian Current (EAC) extension is projected to get stronger and warmer in the future. The CMIP5 multimodel mean (MMM) projection suggests up to 5°C of warming under an RCP85 scenario by 2100. Previous studies employed Sverdrup balance to associate a trend in basin wide zonally integrated wind stress curl (resulting from the multidecadal poleward intensification in the westerly winds over the Southern Ocean) with enhanced transport in the EAC extension. Possible regional drivers are yet to be considered. Here we introduce the NEMO-OASIS-WRF coupled regional climate model as a framework to improve our understanding of CMIP5 projections. We analyze a hierarchy of simulations in which the regional atmosphere and ocean circulations are allowed to freely evolve subject to boundary conditions that represent present-day and CMIP5 RCP8.5 climate change anomalies. Evaluation of the historical simulation shows an EAC extension that is stronger than similar ocean-only models and observations. This bias is not explained by a linear response to differences in wind stress. The climate change simulations show that regional atmospheric CMIP5 MMM anomalies drive 73% of the projected 12 Sv increase in EAC extension transport whereas the remote ocean boundary conditions and regional radiative forcing (greenhouse gases within the domain) play a smaller role. The importance of regional changes in wind stress curl in driving the enhanced EAC extension is consistent with linear theory where the NEMO-OASIS-WRF response is closer to linear transport estimates compared to the CMIP5 MMM. © 2020. The Authors.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85088920983
"Li Y., Gupta A.S., Taschetto A.S., Jourdain N.C., Di Luca A., Done J.M., Luo J.-J.","57214962213;8874929700;23104422600;35208465800;37101378500;14012082000;8870038800;","Assessing the role of the ocean–atmosphere coupling frequency in the western Maritime Continent rainfall",2020,"Climate Dynamics","54","11-12",,"4935","4952",,5,"10.1007/s00382-020-05266-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084210621&doi=10.1007%2fs00382-020-05266-7&partnerID=40&md5=e88cc4ef4437a3f2bbe4ddec2204ac8e","High-frequency interactions between the ocean and atmosphere have the potential to affect lower frequency or mean state climate in various regions. Here we examine the importance of sub-daily air-sea interactions over the Maritime Continent region to the rectification of longer timescale variation. In order to determine the importance of these high-frequency interactions, we conducted two regional ocean–atmosphere coupled simulations over the Maritime Continent where exchanges between the oceanic and atmospheric components are performed either every hour (i.e. resolving diurnal changes) or every day. We find that coupling frequency has a significant influence on mean sea surface temperature (SST) and the mean state and diurnal cycle of rainfall over certain regions of the western Maritime Continent where air-sea interactions are strong during the Asian monsoon season, with little effect in other regions or seasons. Without sub-daily air-sea interactions, the mean SST along the southwest off Sumatra is ~ 2 °C warmer during the period from June to October as a result of a deepening of thermocline along the coast. This deepening is linked to anomalous downwelling equatorial eastward propagating Kelvin waves triggered by westerly anomalies in the eastern equatorial Indian Ocean. In addition, the mean rainfall in the vicinity of ocean warming increases, thereby producing an enhanced barrier layer that also provides a positive warming feedback. Although the coupling frequency has little impact on the timing of the rainfall diurnal cycle, suppression of sub-daily coupling significantly changes the diurnal rainfall amplitude causing a relative decrease (increase) in amplitude over the coast of Northwestern (Southwestern) Sumatra during the South Asian monsoon season. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",Article,"Final","",Scopus,2-s2.0-85084210621
"Sprintall J., Cravatte S., Dewitte B., Du Y., Gupta A.S.","6602699832;7801626182;6601990079;55762732700;8874929700;","ENSO Oceanic Teleconnections",2020,"Geophysical Monograph Series","253",,,"337","357",,9,"10.1002/9781119548164.ch15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132360745&doi=10.1002%2f9781119548164.ch15&partnerID=40&md5=5aff2aa9e8a57e389aefc788b221ece2","The reverberating impacts of ENSO are felt around the world long after the demise of ENSO events in the tropical Pacific Ocean. This is largely attributable to oceanic pathways that transfer ENSO-associated anomalies around the Pacific and into other basins. While the impact of atmospheric teleconnections occurs over days to weeks, oceanic teleconnections permit a memory of anomalous air-sea coupling during ENSO to persist months to years. ENSO-generated ocean perturbations are transmitted to remote regions by planetary waves. Equatorial Kelvin waves generated by intraseasonal western Pacific wind bursts travel along the equator to the eastern basin and excite coastally trapped waves that extend ENSO’s reach to high latitudes along the American coastlines. Rossby waves that either radiate from the coast with the passage of these Kelvin waves or are generated in the ocean interior by ENSO-related wind anomalies propagate signals westward across the basin, rapidly altering tropical circulation and affecting subtropical gyres. At the leaky western boundary, the waves excited by ENSO radiate and scatter through the Indonesian seas to enter the Indian Ocean. This chapter discusses key mechanisms and highlights evidence for transport and property changes attributable to remote ENSO forcing in the tropical Pacific mediated by oceanic teleconnections. © 2021.",Book Chapter,"Final","",Scopus,2-s2.0-85132360745
"Holbrook N.J., Claar D.C., Hobday A.J., McInnes K.L., Oliver E.C.J., Gupta A.S., Widlansky M.J., Zhang X.","7103158914;36998569400;6701910294;7004524826;35389429300;8874929700;36159051900;56332237500;","ENSO-Driven Ocean Extremes and Their Ecosystem Impacts",2020,"Geophysical Monograph Series","253",,,"409","428",,15,"10.1002/9781119548164.ch18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108202994&doi=10.1002%2f9781119548164.ch18&partnerID=40&md5=85f49d530bf0188e17b7880ccbfb89d4","El Niño–Southern Oscillation (ENSO) events can cause extremes in the ocean environment that have substantial impacts on marine ecosystems. In the shallow‐water/coastal marine environment, ENSO‐related extremes in sea level and seawater temperature have been found to impact coral, kelp, seagrass, and mangrove ecosystems. Coastal impacts from sea level extremes include exposure of shallow‐water ecosystems and inundation in low‐lying areas. Ocean temperature extremes, including marine heatwaves, cause coral bleaching and can impact kelp and seagrass density. This chapter reviews knowledge and understanding of ENSO’s role in sea level extremes and ocean temperature extremes, and their impacts on these key shallow‐water/coastal marine ecosystems. © 2021 American Geophysical Union. Published 2021 by John Wiley & Sons, Inc.",Book Chapter,"Final","",Scopus,2-s2.0-85108202994
"Perry S.J., McGregor S., Sen Gupta A., England M.H., Maher N.","57196083943;8266754800;8874929700;7101869647;56324505100;","Projected late 21st century changes to the regional impacts of the El Niño-Southern Oscillation",2020,"Climate Dynamics","54","1-2",,"395","412",,13,"10.1007/s00382-019-05006-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074606389&doi=10.1007%2fs00382-019-05006-6&partnerID=40&md5=0577efeda88380b8d02b9ec378efc6b3","As the dominant driver of interannual climate variability globally, any changes in the remote impacts of the El Niño-Southern Oscillation (ENSO) due to climate change are of considerable importance. Here we assess whether climate models from Phase 5 of the Coupled Model Intercomparison Project (CMIP5) project robust changes in ENSO’s regional temperature and precipitation teleconnections in the late 21st century, comparing the historical simulations (between 1950 and 1999) and high-emission future simulations (between 2040 and 2089). In order to quantify the importance of internal variability in these projected changes, we examine an ensemble of coupled model simulations from the Max-Planck-Institute Grand Ensemble (MPI-GE). Except for a few regions, the changes in ENSO’s temperature and precipitation teleconnections for most regions are not significant across the majority of models. Exceptions include consistent projected changes to temperature teleconnections over equatorial South America and East Africa, which are robust during La Niña events. Despite this, by assessing all regions together, a significant amplification of the temperature teleconnections is identified for La Niña events. Additionally, we find an overall projected weakening relative to the historical precipitation teleconnection when analysis is limited to regions that correctly reproduce the observed precipitation teleconnections. It remains unclear to what extent a change in regional ENSO teleconnections will be apparent, as it is clear that the changes in ENSO’s teleconnections are relatively small compared to the regional variability during the historical period. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85074606389
"Goyal R., England M.H., Sen Gupta A., Jucker M.","57210788084;7101869647;8874929700;14058428800;","Reduction in surface climate change achieved by the 1987 Montreal Protocol",2019,"Environmental Research Letters","14","12","124041","","",,28,"10.1088/1748-9326/ab4874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081691522&doi=10.1088%2f1748-9326%2fab4874&partnerID=40&md5=b5302f346e472d7402a91b52ef526917","The benefits of the 1987 Montreal Protocol in reducing chlorofluorocarbon emissions, repairing the stratospheric ozone hole, shielding incoming UV radiation, reducing the incidence of skin cancer and mitigating negative ecosystem effects are all well documented. Projected future climate impacts have also been described, mainly focused on a reduced impact of the mid-latitude jet as the ozone hole gradually repairs. However, there is little appreciation of the surface warming that has been avoided as a result of the Montreal Protocol, despite CFCs being potent greenhouse gases. Instead, the issue of ozone depletion and climate change are often thought of as two distinct problems, even though both ozone and CFCs impact Earth's radiation budget. Here we show that a substantial amount of warming has been avoided because of the Montreal Protocol, even after factoring in the surface cooling associated with stratospheric ozone depletion. As of today, as much as 1.1 °C warming has been avoided over parts of the Arctic. Future climate benefits are even stronger, with 3 °C-4 °C Arctic warming and ∼1 °C global average warming avoided by 2050; corresponding to a ∼25% mitigation of global warming. The Montreal Protocol has thus not only been a major success in repairing the stratospheric ozone hole, it has also achieved substantial mitigation of anthropogenic climate change both today and into the future. © 2019 The Author(s). Published by IOP Publishing Ltd.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85081691522
"Oliver E.C.J., Burrows M.T., Donat M.G., Sen Gupta A., Alexander L.V., Perkins-Kirkpatrick S.E., Benthuysen J.A., Hobday A.J., Holbrook N.J., Moore P.J., Thomsen M.S., Wernberg T., Smale D.A.","35389429300;7103139661;17434022100;8874929700;55829111000;57208982698;57212011015;6701910294;7103158914;12788438100;7201684589;8657683700;55344797900;","Projected Marine Heatwaves in the 21st Century and the Potential for Ecological Impact",2019,"Frontiers in Marine Science","6",,"734","","",,230,"10.3389/fmars.2019.00734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076967724&doi=10.3389%2ffmars.2019.00734&partnerID=40&md5=83255c62338bed0b5d59b81f06af2e59","Marine heatwaves (MHWs) are extreme climatic events in oceanic systems that can have devastating impacts on ecosystems, causing abrupt ecological changes and socioeconomic consequences. Several prominent MHWs have attracted scientific and public interest, and recent assessments have documented global and regional increases in their frequency. However, for proactive marine management, it is critical to understand how patterns might change in the future. Here, we estimate future changes in MHWs to the end of the 21st century, as simulated by the CMIP5 global climate model projections. Significant increases in MHW intensity and count of annual MHW days are projected to accelerate, with many parts of the ocean reaching a near-permanent MHW state by the late 21st century. The two greenhouse gas (GHG) emission scenarios considered (Representative Concentration Pathway 4.5 and 8.5) strongly affect the projected intensity of MHW events, the proportion of the globe exposed to permanent MHW states, and the occurrence of the most extreme MHW events. Comparison with simulations of a natural world, without anthropogenic forcing, indicate that these trends have emerged from the expected range of natural variability within the first half of the 21st century. This discrepancy implies a degree of “anthropogenic emergence,” with a departure from the natural MHW conditions that have previously shaped marine ecosystems for centuries or even millennia. Based on these projections we expect impacts on marine ecosystems to be widespread, significant and persistent through the 21st century. © Copyright © 2019 Oliver, Burrows, Donat, Sen Gupta, Alexander, Perkins-Kirkpatrick, Benthuysen, Hobday, Holbrook, Moore, Thomsen, Wernberg and Smale.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85076967724
"Stellema A., Sen Gupta A., Taschetto A.S.","57212019691;8874929700;23104422600;","Projected slow down of South Indian Ocean circulation",2019,"Scientific Reports","9","1","17705","","",,13,"10.1038/s41598-019-54092-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075750711&doi=10.1038%2fs41598-019-54092-3&partnerID=40&md5=8cc5a82f5e2a8fc134bc36058f61be1f","Using an ensemble of 28 climate models, we examine hindcasts and ‘business as usual’ future changes to large-scale South Indian Ocean dynamics. We compare model ensemble seasonal-to-annual volume transports to observations and explore drivers of past and future circulation variability and change. Off the west coast of Australia, models consistently project a weakening of the Leeuwin Current and Undercurrent due to reduced onshore flow and downwelling. The reduced onshore flow is related to changes in the alongshore pressure gradient. While the alongshore pressure gradient change is consistent with the Indonesian Throughflow projected weakening, we found no inter-model relationship between these changes. In the south-western Indian Ocean, the models project a robust weakening of the North East and South East Madagascar Currents, Agulhas Current and transport through the Mozambique Channel. This reduced Indian Ocean western boundary flow is partly associated with a weaker Indonesian Throughflow and overturning circulation, where the latter is related to a decrease in the convergence of deep Southern Ocean waters into the Indian Ocean. In contrast to the weakening of other features, the westward flowing Agulhas Current extension south of Africa is projected to strengthen, which is consistent with an intensification of the Antarctic Circumpolar Current. © 2019, The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85075750711
"Escalle L., Scutt Phillips J., Brownjohn M., Brouwer S., Sen Gupta A., Van Sebille E., Hampton J., Pilling G.","56136355500;57195814050;57211137138;57217785516;8874929700;22636301500;16219301600;55897649300;","Environmental versus operational drivers of drifting FAD beaching in the Western and Central Pacific Ocean",2019,"Scientific Reports","9","1","14005","","",,11,"10.1038/s41598-019-50364-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072782270&doi=10.1038%2fs41598-019-50364-0&partnerID=40&md5=8c6e1fe094959b40f1d694ba79c62a9e","In an effort to increase purse seine fishing efficiency for tropical tunas, over 30,000 drifting Fish Aggregating Devices (dFADs) are deployed every year by fishers in the Western and Central Pacific Ocean (WCPO). The use of dFADs also impacts ecosystems, in particular through marine pollution and dFAD beaching. This paper presents the first estimate of dFAD beaching events in the WCPO (>1300 in 2016–2017) and their distribution. Lagrangian simulations of virtual dFADs, released subject to contrasting deployment distributions, help us determine the relative importance of operational versus environmental drivers of dFADs drifting to beaching areas. The highest levels of beaching, occurring on Papua New Guinea and Solomon Islands, are likely a result of the prevailing westward oceanic circulation and subsequent local processes driving dFADs towards land. Similarly, high beaching rates in Tuvalu appear to be due to the general circulation of the WCPO. In contrast, beaching in Kiribati Gilbert Islands appear to be more strongly related to dFAD deployment strategy. These findings indicate that reducing beaching events via changes in deployment locations may be difficult. As such, management approaches combining dFAD deployment limits, the use of biodegradable dFADs, recoveries at-sea close to sensitive areas and/or beached dFAD removal should be considered. © 2019, The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85072782270
"Holbrook N.J., Scannell H.A., Sen Gupta A., Benthuysen J.A., Feng M., Oliver E.C.J., Alexander L.V., Burrows M.T., Donat M.G., Hobday A.J., Moore P.J., Perkins-Kirkpatrick S.E., Smale D.A., Straub S.C., Wernberg T.","7103158914;56750098000;8874929700;57212011015;7201365637;35389429300;55829111000;7103139661;17434022100;6701910294;12788438100;57208982698;55344797900;55366046300;8657683700;","A global assessment of marine heatwaves and their drivers",2019,"Nature Communications","10","1","2624","","",,236,"10.1038/s41467-019-10206-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067358586&doi=10.1038%2fs41467-019-10206-z&partnerID=40&md5=cefa72783e87f2512832b837c3027ec9","Marine heatwaves (MHWs) can cause devastating impacts to marine life. Despite the serious consequences of MHWs, our understanding of their drivers is largely based on isolated case studies rather than any systematic unifying assessment. Here we provide the first global assessment under a consistent framework by combining a confidence assessment of the historical refereed literature from 1950 to February 2016, together with the analysis of MHWs determined from daily satellite sea surface temperatures from 1982–2016, to identify the important local processes, large-scale climate modes and teleconnections that are associated with MHWs regionally. Clear patterns emerge, including coherent relationships between enhanced or suppressed MHW occurrences with the dominant climate modes across most regions of the globe – an important exception being western boundary current regions where reports of MHW events are few and ocean-climate relationships are complex. These results provide a global baseline for future MHW process and prediction studies. © 2019, The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85067358586
"Bordbar M.H., England M.H., Sen Gupta A., Santoso A., Taschetto A.S., Martin T., Park W., Latif M.","8896098100;7101869647;8874929700;36841957400;23104422600;7403463830;55728284400;7005132811;","Uncertainty in near-term global surface warming linked to tropical Pacific climate variability",2019,"Nature Communications","10","1","1990","","",,15,"10.1038/s41467-019-09761-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065096852&doi=10.1038%2fs41467-019-09761-2&partnerID=40&md5=89c81cb199c1b96e16c241b8b62978bf","Climate models generally simulate a long-term slowdown of the Pacific Walker Circulation in a warming world. However, despite increasing greenhouse forcing, there was an unprecedented intensification of the Pacific Trade Winds during 1992–2011, that co-occurred with a temporary slowdown in global surface warming. Using ensemble simulations from three different climate models starting from different initial conditions, we find a large spread in projected 20-year globally averaged surface air temperature trends that can be linked to differences in Pacific climate variability. This implies diminished predictive skill for global surface air temperature trends over decadal timescales, to a large extent due to intrinsic Pacific Ocean variability. We show, however, that this uncertainty can be considerably reduced when the initial oceanic state is known and well represented in the model. In this case, the spatial patterns of 20-year surface air temperature trends depend largely on the initial state of the Pacific Ocean. © 2019, The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85065096852
"Choudhury D., Mehrotra R., Sharma A., Sen Gupta A., Sivakumar B.","57188852300;57203234869;57190818469;8874929700;56277793100;","Effectiveness of CMIP5 Decadal Experiments for Interannual Rainfall Prediction Over Australia",2019,"Water Resources Research","55","8",,"7400","7418",,7,"10.1029/2018WR024462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071908681&doi=10.1029%2f2018WR024462&partnerID=40&md5=69c41704e8585c2b0fb67074b2e31746","Phase five of the Coupled Model Intercomparison Project enabled a range of decadal modeling experiments where climate models were initialized with observations and allowed to evolve freely for 10–30 years. However, climate models struggle to realistically simulate rainfall and the skill of rainfall prediction in decadal experiments is poor. Here, we examine how predictions of sea surface temperature anomaly (SSTA) indices from Coupled Model Intercomparison Project Phase 5 decadal experiments can provide skillful rainfall forecasts at interannual timescales for Australia. Forecasts of commonly used SSTA indices relevant to Australian seasonal rainfall are derived from decadal hindcasts of six different climate models and corrected for model drift. The corrected indices are then combined to form a multimodel ensemble. The resultant forecasts are used as predictors in a statistical rainfall model developed in this study. As SSTA forecasts lose skill with increasing lead time, a new methodology for predicting interannual rainfall is proposed. We allow our statistical prediction model to evolve with lead time while accounting for the loss of skill in SSTA forecasts instead of using one statistical model for all lead times. Results in this pilot study across two of the largest climate zones in Australia show that SSTA outputs from the decadal experiments provide enhanced skill in rainfall prediction over using the conventional model (based purely on lagged observed indices) up to a maximum of three years ahead. This methodology could be used more broadly for other regions around the world where rainfall variability is known to have strong links to ocean temperatures. ©2019. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85071908681
"Rodrigues R.R., Taschetto A.S., Sen Gupta A., Foltz G.R.","15743213500;23104422600;8874929700;6602294196;","Common cause for severe droughts in South America and marine heatwaves in the South Atlantic",2019,"Nature Geoscience","12","8",,"620","626",,84,"10.1038/s41561-019-0393-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068937301&doi=10.1038%2fs41561-019-0393-8&partnerID=40&md5=9dacb1caf25b26d18a01ee8d0f760aee","In 2013/14 eastern South America experienced one of its worst droughts. At the same time an unprecedented marine heatwave developed in the western South Atlantic. The drought was linked to suppression of the South Atlantic convergence zone and its associated rainfall, which led to water shortages in Brazil and impacted food supplies globally. Here we show from observations that such droughts and adjacent marine heatwaves have a common remote cause. Atmospheric blocking triggered by tropical convection in the Indian and Pacific oceans can cause persistent anticyclonic circulation that not only leads to severe drought but also generates marine heatwaves in the adjacent ocean. We show that increased shortwave radiation due to reduced cloud cover and reduced ocean heat loss from weaker winds are the main contributors to the establishment of marine heatwaves in the region. The proposed mechanism, which involves droughts, extreme air temperature over land and atmospheric blocking explains approximately 60% of the marine heatwave events in the western South Atlantic. We also identified an increase in frequency, duration, intensity and extension of marine heatwave events over the satellite period 1982–2016. Moreover, surface primary production was reduced during these events with implications for regional fisheries. © 2019, The Author(s), under exclusive licence to Springer Nature Limited.",Article,"Final","",Scopus,2-s2.0-85068937301
"Smale D.A., Wernberg T., Oliver E.C.J., Thomsen M., Harvey B.P., Straub S.C., Burrows M.T., Alexander L.V., Benthuysen J.A., Donat M.G., Feng M., Hobday A.J., Holbrook N.J., Perkins-Kirkpatrick S.E., Scannell H.A., Sen Gupta A., Payne B.L., Moore P.J.","55344797900;8657683700;35389429300;7201684589;55898301900;55366046300;7103139661;55829111000;57212011015;17434022100;7201365637;6701910294;7103158914;57208982698;56750098000;8874929700;57196122722;12788438100;","Marine heatwaves threaten global biodiversity and the provision of ecosystem services",2019,"Nature Climate Change","9","4",,"306","312",,643,"10.1038/s41558-019-0412-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062608337&doi=10.1038%2fs41558-019-0412-1&partnerID=40&md5=d737fd46f6393bbb3a3f939fb10e7074","The global ocean has warmed substantially over the past century, with far-reaching implications for marine ecosystems 1 . Concurrent with long-term persistent warming, discrete periods of extreme regional ocean warming (marine heatwaves, MHWs) have increased in frequency 2 . Here we quantify trends and attributes of MHWs across all ocean basins and examine their biological impacts from species to ecosystems. Multiple regions in the Pacific, Atlantic and Indian Oceans are particularly vulnerable to MHW intensification, due to the co-existence of high levels of biodiversity, a prevalence of species found at their warm range edges or concurrent non-climatic human impacts. The physical attributes of prominent MHWs varied considerably, but all had deleterious impacts across a range of biological processes and taxa, including critical foundation species (corals, seagrasses and kelps). MHWs, which will probably intensify with anthropogenic climate change 3 , are rapidly emerging as forceful agents of disturbance with the capacity to restructure entire ecosystems and disrupt the provision of ecological goods and services in coming decades. © 2019, The Author(s), under exclusive licence to Springer Nature Limited.",Letter,"Final","All Open Access, Green",Scopus,2-s2.0-85062608337
"Santoso A., Hendon H., Watkins A., Power S., Dommenget D., England M.H., Frankcombe L., Holbrook N.J., Holmes R., Hope P., Lim E.-P., Luo J.-J., McGregor S., Neske S., Nguyen H., Pepler A., Rashid H., Gupta A.S., Taschetto A.S., Wang G., Abellán E., Sullivan A., Huguenin M.F., Gamble F., Delage F.","36841957400;7003545639;7101936669;7101785401;6602845217;7101869647;16244669900;7103158914;45561288300;7005413462;26660820700;8870038800;8266754800;57200576154;57209589566;37059457600;15319714800;8874929700;23104422600;56144102900;56928127500;26653785700;57208867883;57191007853;26433199500;","Dynamics and predictability of El Niño-Southern oscillation: An Australian perspective on progress and challenges",2019,"Bulletin of the American Meteorological Society","100","3",,"403","420",,46,"10.1175/BAMS-D-18-0057.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065961504&doi=10.1175%2fBAMS-D-18-0057.1&partnerID=40&md5=c5a7596805e276aa32fcdfb04911364f",[No abstract available],Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85065961504
"Smith N., Kessler W.S., Cravatte S., Sprintall J., Wijffels S., Cronin M.F., Sutton A., Serra Y.L., Dewitte B., Strutton P.G., Hill K., Gupta A.S., Lin X., Takahashi K., Chen D., Brunner S.","7403173064;7103241745;7801626182;6602699832;55901810200;7203085045;56047545400;35619212800;6601990079;7004680257;7402618129;8874929700;8646634700;55763471100;7405454281;57202986468;","Tropical Pacific observing system",2019,"Frontiers in Marine Science","6","FEB","31","","",,29,"10.3389/fmars.2019.00031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061740690&doi=10.3389%2ffmars.2019.00031&partnerID=40&md5=c692a5bc1da4a254cec4224d88e8e995","This paper reviews the design of the Tropical Pacific Observing System (TPOS) and its governance and takes a forward look at prospective change. The initial findings of the TPOS 2020 Project embrace new strategic approaches and technologies in a user-driven design and the variable focus of the Framework for Ocean Observing. User requirements arise from climate prediction and research, climate change and the climate record, and coupled modeling and data assimilation more generally. Requirements include focus on the upper ocean and air-sea interactions, sampling of diurnal variations, finer spatial scales and emerging demands related to biogeochemistry and ecosystems. One aim is to sample a diversity of climatic regimes in addition to the equatorial zone. The status and outlook for meeting the requirements of the design are discussed. This is accomplished through integrated and complementary capabilities of networks, including satellites, moorings, profiling floats and autonomous vehicles. Emerging technologies and methods are also discussed. The outlook highlights a few new foci of the design: biogeochemistry and ecosystems, low-latitude western boundary currents and the eastern Pacific. Low latitude western boundary currents are conduits of tropical-subtropical interactions, supplying waters of mid to high latitude origin to the western equatorial Pacific and into the Indonesian Throughflow. They are an essential part of the recharge/discharge of equatorial warm water volume at interannual timescales and play crucial roles in climate variability on regional and global scales. The tropical eastern Pacific, where extreme El Niño events develop, requires tailored approaches owing to the complex of processes at work there involving coastal upwelling, and equatorial cold tongue dynamics, the oxygen minimum zone and the seasonal double Intertropical Convergence Zone. A pilot program building on existing networks is envisaged, complemented by a process study of the East Pacific ITCZ/warm pool/cold tongue/stratus coupled system. The sustainability of TPOS depends on effective and strong collaborative partnerships and governance arrangements. Revisiting regional mechanisms and engaging new partners in the context of a planned and systematic design will ensure a multi-purpose, multi-faceted integrated approach that is sustainable and responsive to changing needs. © 2019 Smith, Kessler, Cravatte, Sprintall, Wijffels, Cronin, Sutton, Serra, Dewitte, Strutton, Hill, Sen Gupta, Lin, Takahashi, Chen and Brunner.",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85061740690
"Phillips J.S., Escalle L., Pilling G., Gupta A.S., van Sebille E.","57195814050;56136355500;55897649300;8874929700;22636301500;","Regional connectivity and spatial densities of drifting fish aggregating devices, simulated from fishing events in the western and central pacific ocean",2019,"Environmental Research Communications","1","5","055001","","",,9,"10.1088/2515-7620/ab21e9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073194506&doi=10.1088%2f2515-7620%2fab21e9&partnerID=40&md5=929f55cc3ef7ff9a26adbec6957501cd","The increased use of drifting Fish Aggregating Devices (dFADs) by tuna purse seine fleets in recent years has supported considerable catches of these species. A greater understanding of the spatiotemporal dynamics of these objects as they drift with ocean currents is critical for understanding historical changes in fishing power, spatial management, and examining the effect of ambient dFAD density on catch and effort. Here, dFAD dynamics were estimated for all floating object sets made by purse seiners in the Western and Central Pacific Ocean during 2016 and 2017. The drift trajectories of these floating objects prior to the observed fishing events were estimated by seeding virtual Lagrangian particles within a state-of-the-art hydrodynamics model, and simulating their movements backwards in time. Resulting trajectory distributions are similar to observed dFAD trajectories from the same period. The approach provides spatial density estimates in areas where observed dFAD data are incomplete, particularly in the exclusive economic zone (EEZ) of Howland and Baker Islands, and certain high seas areas. We provide estimates of inter-EEZ connectivity of dFADs, which highlight the fact that dFADs set upon in small EEZs such as Nauru and Howland and Baker Islands are likely to have drifted from neighbouring EEZs less than one month prior to fishing. dFADs typically transited multiple EEZs, with a median of 4 and a maximum of 14, when assuming a drift-time of six months. Moreover, between 4 and 22% of dFAD sets made in the WCPO were estimated to have originated from the Eastern Pacific Ocean, depending on drift-time. We examine our results in the context of the improved management and assessment of dFAD fisheries, providing a methodology to estimated relative dFAD density over historical periods to support analyses of catch and effort. The sensitivity of these estimates to hydrodynamic models, including the proposed SKIM doppler radar altimetry method, is discussed. © 2019 The Author(s). Published by IOP Publishing Ltd.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85073194506
